유동비율,자기자본이익률,자기자본성장률,총자산회전율,매출총이익성장률,총자산이익률,label
320.6,0.0,9.75,0.0,8.6,0.0,0
213.01,0.0,10.45,44.93,59.42,0.0,0
346.11,1.95,5.49,0.0,-0.63,1.22,0
147.33,0.89,2.54,21.44,-29.04,0.6,0
211.34,0.0,4.84,34.01,-14.57,0.0,0
519.31,0.94,5.61,22.93,-14.43,0.82,0
684.34,1.57,5.13,0.0,17.83,1.46,1
367.64,1.68,5.11,19.14,11.46,1.48,0
238.26,1.24,4.29,10.13,325.9,0.92,0
77.8,1.98,8.1,0.0,0.64,1.24,0
143.77,1.88,4.17,22.69,6.27,1.09,0
127.41,0.0,4.21,16.68,-0.72,0.0,0
31.01,-0.71,17.96,0.0,76.95,-0.21,1
78.13,0.0,24.21,27.01,18.1,0.0,0
1802.3,-2.88,-11.04,0.0,-149.65,-2.77,0
137.96,2.19,7.04,28.15,15.45,1.24,0
199.5,-14.09,-37.22,6.33,-264.56,-10.8,1
93.4,-6.07,-2.8,5.47,-11.24,-3.43,0
129.89,0.82,10.5,0.0,11.74,0.42,0
247.75,-2.54,-4.66,32.03,-28.22,-1.41,0
175.76,10.26,51.78,53.8,292.58,5.04,0
183.27,-4.78,28.91,9.37,-45.08,-2.97,0
124.06,0.0,11.76,23.89,35.03,0.0,0
62.12,-0.76,-2.98,0.0,-22.88,-0.31,1
77.21,3.46,13.24,17.06,96.53,1.34,0
252.64,0.64,1.7,19.85,-8.37,0.48,0
671.38,0.0,-45.37,5.31,-47.23,0.0,0
1379.9,6.63,25.07,0.0,5.96,6.11,0
167.95,1.02,2.9,0.0,-9.47,0.45,0
87.98,-1.87,-5.74,13.29,7.0,-0.98,0
102.86,10.73,309.28,0.0,37.21,-12.95,1
85.94,2.58,16.03,0.0,0.64,1.22,0
289.59,0.0,5.25,19.44,-4.65,0.0,0
238.11,0.33,1.07,0.0,-46.71,0.26,0
108.19,-0.54,-3.81,0.0,189.9,-0.4,0
98.31,0.0,-4.2,0.0,-87.31,0.0,0
325.1,0.0,2.05,17.96,22.29,0.0,0
165.52,-1.52,-4.48,18.63,-42.65,-1.21,0
1884.58,0.44,0.34,0.0,-6.24,0.41,0
28.6,-4.68,-15.5,2.44,-117.02,-1.93,0
294.75,0.0,2.92,30.63,14.06,0.0,0
54.78,6.59,229.33,40.17,37.49,0.59,0
162.54,0.65,0.85,0.0,14.76,0.43,0
65.51,-22.32,-12.21,35.08,-133.16,-5.85,1
678.26,0.0,3.96,14.6,349.46,0.0,0
185.99,-22.77,-33.79,0.0,-65.92,-12.95,1
144.09,0.44,3.06,35.71,8.95,0.19,0
251.1,-0.97,-3.94,0.0,-23.53,-0.48,0
653.19,2.94,10.33,0.0,-9.22,2.62,0
291.59,3.07,11.65,0.0,40.19,2.39,0
117.37,0.11,1.31,11.42,-14.77,0.05,0
108.21,-3.91,-12.84,0.0,-82.01,-1.8,0
69.08,-0.65,12.1,20.05,-9.88,-0.29,0
135.49,-17.17,121.84,0.0,760.97,-9.56,1
123.03,0.0,5.15,24.78,1.88,0.0,0
230.93,1.36,13.14,22.44,-43.98,0.87,1
723.51,-14.71,309.28,31.88,4.59,-10.48,1
466.3,1.05,95.1,0.0,-8.72,0.74,0
634.32,0.0,128.68,18.27,7.0,0.0,0
721.14,1.17,7.04,0.0,31.19,0.93,0
74.22,2.3,8.84,0.0,49.73,1.35,0
579.07,2.04,6.61,0.0,16.63,1.84,0
994.53,6.93,29.63,0.0,27.92,6.4,0
96.34,2.06,6.08,19.94,-5.05,0.92,0
132.15,0.73,53.12,0.0,760.97,0.56,0
778.76,0.0,7.53,11.15,-56.89,0.0,0
44.41,0.0,-28.33,13.03,760.97,0.0,0
70.57,-34.34,-60.0,0.0,-13.77,-12.95,0
253.23,0.0,12.87,9.45,11.78,0.0,0
2029.62,0.0,44.67,8.24,0.14,0.0,0
197.81,1.91,6.82,13.42,-4.04,1.32,0
100.3,0.66,15.67,13.92,-3.9,0.36,0
463.24,0.22,1.39,16.74,3.64,0.16,0
366.19,0.59,4.16,20.11,-28.39,0.48,0
285.93,0.0,15.44,25.14,21.67,0.0,0
104.64,2.33,14.65,20.33,53.74,1.02,0
517.15,-0.61,51.58,0.0,760.97,-0.49,0
1058.21,0.0,70.05,7.55,-37.65,0.0,0
250.88,2.57,10.01,25.43,9.0,1.72,0
620.1,1.93,7.06,0.0,-57.57,1.72,0
481.91,2.51,17.48,18.83,22.39,1.98,0
327.01,1.39,3.64,13.81,-1.55,1.05,0
171.55,-1.4,-6.3,16.52,-26.95,-1.11,0
140.62,1.2,24.17,16.05,408.79,0.5,0
603.54,2.75,82.26,0.0,3.17,2.25,0
28.6,-5.32,-20.18,19.41,-4.83,-0.57,0
761.63,1.89,5.6,0.0,14.43,1.71,0
41.51,-5.53,277.65,0.0,-68.87,-0.82,1
139.24,2.8,3.67,53.8,1.77,1.16,0
331.18,4.45,132.97,0.0,38.73,2.76,0
206.25,-17.91,-49.55,3.52,-322.19,-12.87,0
